SPACY,GLOSS,AS,AGREEMENT
AdjectiveAlone,or you could do that while you're there you could walk around big xxx,PredicateAdjectiveAlone,0
PredicateNounPrenominal,ooh that's a big sticker,PredicateNounPrenominal,1
StandAlonePrenominal,big rocks,StandAlonePrenominal,1
StandAlonePrenominal,big bird,StandAlonePrenominal,1
AdjectiveAlone,too big big,AdjectiveAlone,1
AdjectiveAlone,too big,AdjectiveAlone,1
PredicateNounPrenominal,you see that witch she's got a big hat that witch,PredicateNounPrenominal,1
StandAlonePrenominal,yyy big yyy yyy potato baby potato head,StandAlonePrenominal,1
PredicateNounPrenominal,that's my big girl,PredicateNounPrenominal,1
PredicateNounPrenominal,you could use this if you don't tear it up and he could lie down on a big piece,PredicateNounPrenominal,1
PredicateNounPrenominal,it's like you know it's like a big you know long it was in a greenhouse like a big like sort of three connected rooms and there maybe fifty butterflies,PredicateAdjectiveAlone,0
PredicateNounPrenominal,Lily can you bring your big purple ball over here,PredicateNounPrenominal,1
PredicateNounPrenominal,oh you're gonna spend the day making a big tower,PredicateNounPrenominal,1
PredicateNounPrenominal,and she has a big tall hat,PredicateNounPrenominal,1
StandAlonePrenominal,a big triangle a big square,StandAlonePrenominal,1
SubjectNounPrenominal,the big truck drives down the bumpy road bumpy bumpy bumpy bumpy bumpy,SubjectNounPrenominal,1
PredicateNounPrenominal,look at the big beautiful moon,PredicateNounPrenominal,1
AdjectiveAlone,it has a big,PredicateAdjectiveAlone,0
StandAlonePrenominal,the witch's big night we like,SubjectNounPrenominal,0
AdjectiveAlone,too big,AdjectiveAlone,1
PredicateNounPrenominal,the cat fell upside down in the big milk bowl,PredicateNounPrenominal,1
StandAlonePrenominal,big diamond,StandAlonePrenominal,1
SubjectNounPredicate,how's xxx doing he's big now,SubjectNounPredicate,1
StandAlonePrenominal,a big squeeze,StandAlonePrenominal,1
StandAlonePrenominal,a big one,StandAlonePrenominal,1
SubjectNounPredicate,it's so big it's huge,SubjectNounPredicate,1
PredicateNounPrenominal,wow that must be an awfully big ship,PredicateNounPrenominal,1
AdjectiveAlone,a big xxx,StandAlonePrenominal,0
PredicateNounPrenominal,that's a big stick,PredicateNounPrenominal,1
PredicateNounPrenominal,where's the big ball,PredicateNounPrenominal,1
StandAlonePrenominal,big one,StandAlonePrenominal,1
PredicateNounPrenominal,it's that's the big four,PredicateNounPrenominal,1
SubjectNounPredicate,oh wow that's big,SubjectNounPredicate,1
PredicateNounPrenominal,I like yyy a big I'd like a big triangle,PredicateNounPrenominal,1
